Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
1,-3.66,0,0,22,1,0.85
1,-2.97,0,0,22,1,0.7
1,-7.41,0,1,22,1,2.79
1,-17.6,0,1,22,1,4.36
1,-2.84,0,0,22,1,0.6
1,-2.84,0,0,22,1,0.68
1,-1.59,0,1,22,1,0.77
1,-5.22,0,1,22,1,2.16
1,-20.2,0,1,22,1,4.88
1,-24,0,1,22,1,7.62
1,-15.9,0,0,22,1,6.48
1,-4.59,0,1,22,1,0.73
1,-2.84,0,1,22,1,1.42
1,-7.78,0,1,22,1,2.72
1,-8.84,0,1,22,1,3.95
1,-13.7,0,1,22,1,4.85
1,-22.7,0,1,22,1,5.73
1,-26.6,0,1,22,1,6.47
1,-26,0,1,22,1,9.45
1,-27.7,0,0,22,1,7.62
1,-19.8,0,0,22,1,6.64
1,-15.2,0,0,22,1,4.75
1,-18.2,0,0,22,1,4.01
1,-10.5,0,0,22,1,3.04
1,-7.78,0,0,22,1,1.93
1,-3.59,0,0,22,1,0.8
1,-15.2,0,1,19.8,1,0.69
1,-21.7,0,1,26,1,0.69
1,-21.5,0,1,30,1,0.75
1,-22.3,0,1,25,1,0.64
1,-16.6,0,1,20,1,0.59
1,-14.1,0,1,30,1,0.67
1,-2.84,0,1,25,1,1.05
1,-1.28,0,1,25,1,0.73
1,-2.16,0,1,30.1,1,0.94
1,-1.91,0,1,20.4,1,0.84
1,-2.16,0,1,20.2,1,0.86
1,-1.97,0,1,30,1,0.87
1,-2.84,0,1,30.2,1,0.81
1,-1.97,0,1,25.1,1,0.84
1,-1.41,0,1,20.7,1,0.93
1,-5.91,1,1,22,1,0.9
1,-25.4,1,1,22,1,2.8
1,-27.6,1,1,22,1,4.8
1,-40.8,1,1,22,1,6.8
1,-51.2,1,1,22,1,8.4
1,-54.8,1,1,22,1,9.7
1,0.156,1,0,22,1,8.6
1,-51.8,1,0,22,1,8
2,-1.59,0,1,22,1,0.6
2,-1.84,0,1,22,1,0.7
2,-1.66,0,1,22,1,0.56
2,-4.66,0,1,22,1,1.49
2,-4.97,0,1,22,1,1.63
2,-5.84,0,1,22,1,1.88
2,-12,0,1,22,1,3.37
2,-15.7,0,1,22,1,3.75
2,-12.7,0,1,22,1,4.02
2,-24,0,1,22,1,6.15
2,-25,0,1,22,1,6.06
2,-16.8,0,1,22,1,6.47
2,-14.8,0,0,22,1,4.1
2,-10.5,0,0,22,1,3.64
2,-8.72,0,0,22,1,3.6
2,-2.71,0,0,22,1,0.85
2,-2.59,0,0,22,1,0.7
2,-5.28,0,1,22,1,2.79
2,-12.2,0,1,22,1,4.36
2,-1.91,0,0,22,1,0.6
2,-1.91,0,0,22,1,0.68
2,-0.906,0,1,22,1,0.77
2,-3.91,0,1,22,1,2.16
2,-14.7,0,1,22,1,4.88
2,-18.3,0,1,22,1,7.62
2,-12.7,0,0,22,1,6.48
2,-3.09,0,1,22,1,0.73
2,-1.97,0,1,22,1,1.42
2,-5.59,0,1,22,1,2.72
2,-6.59,0,1,22,1,3.95
2,-9.84,0,1,22,1,4.85
2,-16.8,0,1,22,1,5.73
