Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed
1,2.1168749928474426,2.1168749928474426,1,2.1168749928474426,2.1168749928474426
2,1.8520390093326569,1.8520390093326569,2,2.0639077961444854,2.0639077961444854
3,1.7451356649398804,1.7451356649398804,3,2.0001533699035643,2.0001533699035643
4,1.6549910604953766,1.6549910604953766,4,1.931120908021927,1.931120908021927
5,1.5568340718746185,1.5568340718746185,5,1.8562635407924652,1.8562635407924652
6,1.4685845375061035,1.4685845375061035,6,1.778727740135193,1.778727740135193
7,1.3798982203006744,1.3798982203006744,7,1.6989618361682892,1.6989618361682892
8,1.2640831768512726,1.2640831768512726,8,1.611986104304886,1.611986104304886
9,1.1592896282672882,1.1592896282672882,9,1.5214468090973665,1.5214468090973665
10,1.0657487511634827,1.0657487511634827,10,1.4303071975105897,1.4303071975105897
11,0.9970254302024841,0.9970254302024841,11,1.3436508440489685,1.3436508440489685
12,0.9429677426815033,0.9429677426815033,12,1.2635142237754755,1.2635142237754755
13,0.8741858899593353,0.8741858899593353,13,1.1856485570122475,1.1856485570122475
14,0.8365861475467682,0.8365861475467682,14,1.1158360751191516,1.1158360751191516
15,0.8036946356296539,0.8036946356296539,15,1.0534077872212522,1.0534077872212522
16,0.7727078050374985,0.7727078050374985,16,0.9972677907845013,0.9972677907845013
17,0.7461149245500565,0.7461149245500565,17,0.9470372175376124,0.9470372175376124
18,0.7168737947940826,0.7168737947940826,18,0.9010045329889064,0.9010045329889064
19,0.6920846104621887,0.6920846104621887,19,0.8592205484835629,0.8592205484835629
20,0.6784410327672958,0.6784410327672958,20,0.8230646453403095,0.8230646453403095
21,0.6695176064968109,0.6695176064968109,21,0.7923552375716097,0.7923552375716097
22,0.6514949053525925,0.6514949053525925,22,0.7641831711278062,0.7641831711278062
23,0.652559369802475,0.652559369802475,23,0.74185841086274,0.74185841086274
24,0.6347526162862778,0.6347526162862778,24,0.7204372519474476,0.7204372519474476
25,0.6214631721377373,0.6214631721377373,25,0.7006424359855056,0.7006424359855056
26,0.6091783046722412,0.6091783046722412,26,0.6823496097228526,0.6823496097228526
